二狗Lee,17,小僵尸,护驾!
天使焦250,12,小僵尸,阴阳怪气
梨加,22,小肚皮,小僵尸
椰果芦荟汁,15,无粉丝牌,一帮穷鬼
1154698874,12,小皮,出现了
星云哥哥老公粉,21,小僵尸,舔粉寿司
seeuya,8,无粉丝牌,还是喜欢newbee太可惜了啊
B皇不要死,9,无粉丝牌,流畅就是个辣鸡
氧氧氧氧氧氧氧氧气,7,小僵尸,舔狗
小姐姐我喜欢你吖,15,小僵尸,FGNB
大大小灰机,18,小僵尸,出现了
papadave,8,无粉丝牌,出现了
大Demon,32,小僵尸,卧槽，装备都没看到就没了
MrIIIIIce,17,鸽蓝,这手速
Super丶Kawhi,5,做辣,66666
吐槽大魔王级八,16,小僵尸,护架
眼角一丝翔,17,小僵尸,护驾？ 江湖险恶
覅帮唔拉杠,22,小僵尸,慢一点，慢一点
JdsCigano,24,小僵尸,先补状态 求你了
指尖妄写流年,12,无粉丝牌,2333333333333
妹子的啵啵都是老陈的,20,无粉丝牌,水友牛逼
墨影111,18,小渣男,舔够的下场
gaishaminghao,29,小僵尸,舔粉给我死
餘笙请多多指教,26,无粉丝牌,舔粉寿司！（破音）
老beef,20,小僵尸,这就是舔粉的下场
万玉俊,10,无粉丝牌,..................
呵护forever,25,无粉丝牌,出现了
唐朝乖乖龙,26,小僵尸,出现了
我最亲爱的老公丶丶丶,34,无粉丝牌,无影手
红烧狮子头24805,1,无粉丝牌,不是，往好处想啊，vg双熊肯定能晋级一个
懒人翁,23,推推党,套马的汉子
z2096996,3,无粉丝牌,晚上有比赛吗
恍恍惚惚喝,19,小僵尸,舔粉的下场
clannad1110,12,小僵尸,她们说无影手
乱丶思量,9,大马猴,先脱帽子再秘法！！
不赢不舒服,8,小僵尸,出现了，无影手
蔗鸽逼,22,小僵尸,好毒瘤
Damon56,18,小僵尸,舔狗biss
dqte丶,18,无粉丝牌,舔粉都得死
Encore安可,9,无粉丝牌,他们说，这就是舔🐶的下场
兜兜的大比比,16,小僵尸,无影手
摩蛋老人,19,集团军,我擦
难过的流氓,8,无粉丝牌,全拿了
阿仁lsa,8,小僵尸,....
IllllllllllII,20,小僵尸,答应我 别做舔狗好吗
toystan,10,点子王,流畅对线被单杀几次了，还对线还行
牛肉拉满,20,集团军,这就是舔粉的下场
难玩的卡尔,2,无粉丝牌,精致
capricjugg,5,无粉丝牌,答应我，别做舔狗好吗
姜汁红糖丶,16,无粉丝牌,可以组队，举报了
老陈你又在OB了,16,小僵尸,舔狗的下场
